entry,example_de,translation,cefr
der Dollar,Der Dollar hat heute an Wert gewonnen.,dollar,A1
leiden,Er leidet unter starken Kopfschmerzen.,to suffer,B1
der Anspruch,Er hat einen Anspruch auf Entschädigung.,claim,B1
die Position,Die Position des Stuhls ist festgelegt.,position,A1
der Sport,Sport macht Spaß und hält fit.,sport,A1
das BGB,Das BGB regelt zivile Angelegenheiten.,civil code,
die Nachfrage,Die Nachfrage nach Tickets ist hoch.,demand,B1
blau,Das Meer leuchtet blau in der Sonne.,blue,A2
anschauen,Er schaute sich das Bild genau an.,to look at,A2
teuer,Der Schmuck war unglaublich teuer.,expensive,A1
die Medien,Die Medien berichten live vom Ort.,media,
richten,Er richtet den Blick nach vorn.,to direct,A1
das Institut,Das Institut forscht intensiv.,institute,B1
der Plan,Der Plan wurde sorgfältig ausgearbeitet.,plan,A1
immerhin,Immerhin haben wir es versucht.,after all,A2
das Tor,Das Tor fiel in der letzten Minute.,gate,B1
der Betrieb,Der Betrieb läuft reibungslos.,business,B1
komplex,Die Situation wird immer komplexer.,complex,B2
das Dorf,Das Dorf liegt idyllisch am See.,village,A1
eignen,Das Buch eignet sich für Anfänger.,to be suitable,B2
die Klasse,Die Klasse schreibt einen Test.,class,A1
eingehen,Er ging auf das Angebot nicht ein.,to address,A2
erlauben,Sie haben ihm erlaubt zu bleiben.,to allow,A1
treiben,Der Wind treibt die Wolken vor sich her.,to drive,B1
aufstehen,Er steht jeden Morgen früh auf.,to stand up,A1
der Absatz,Dieser Absatz muss überarbeitet werden.,section,B2
unterwegs,Er ist gerade unterwegs zur Arbeit.,on the way,B1
der Vertrag,Der Vertrag wurde gestern unterzeichnet.,contract,A2
der Ausdruck,Der Ausdruck passt perfekt zum Text.,term,B1
geraten,Er geriet in große Schwierigkeiten.,to get into,A1
toll,Der Ausflug zum See war wirklich toll.,great,A2
das Schweigen,Das Schweigen wurde unangenehm.,silence,B1
die Schwester,Die Schwester kochte das Essen.,sister,A1
der Chef,Der Chef lobte seine Mitarbeiter.,head,A1
greifen,Er greift nach dem letzten Stück Kuchen.,to take hold of,B1
das Risiko,Das Risiko wuchs mit der Zeit.,risk,B1
schwach,Er fühlt sich heute sehr schwach.,weak,A2
die Tabelle,Die Tabelle zeigt die Ergebnisse.,table,B1
ermöglichen,Die Technologie ermöglicht schnelles Lernen.,to enable,B1
der Freitag,Freitag ist mein Lieblingstag.,Friday,A2
der Hinweis,Der Hinweis war sehr hilfreich.,instruction,B1
der Vorteil,Der Vorteil liegt klar auf seiner Seite.,advantage,B1
das Protein,Protein ist wichtig für den Körper.,protein,C1
der Gewinn,Der Gewinn war unerwartet hoch.,profit,B1
grundsätzlich,Er machte einen grundsätzlichen Fehler.,fundamental,C1
der März,Der März bringt oft kaltes Wetter.,March,B2
wiederholen,Er wiederholt die Übung täglich.,to repeat,A1
die Ruhe,Die Ruhe im Raum war angenehm.,silence,B1
die Darstellung,Die Darstellung der Fakten war korrekt.,presentation,B1
ruhig,Das Meer war heute besonders ruhig.,quiet,A1
der Traum,Mein Traum in dieser Nacht war komisch.,dream,A2
behandeln,Der Arzt behandelt den Patienten.,to treat,B1
