entry,example_de,translation,cefr
parallel,Die parallelen Prozesse liefen gut.,parallel,B1
hierbei,Hierbei wurde nichts beschädigt.,while doing this,B2
das Schloss,Das Schloss stand auf einem Hügel.,lock,A2
steuern,Sie steuert das Boot durch den Fluss.,to steer,B2
das Wunder,Das Wunder ereignete sich plötzlich.,miracle,B1
der Abschluss,Der Abschluss des Projekts ist heute.,end,B1
irgendwelche,Irgendwelche Probleme gab es immer.,some,A1
korrekt,Deine Antwort war völlig korrekt.,correct,B1
die Vorsitzende,Der Vorsitzende leitet die Sitzung.,chairperson,
verraten,Er hat das Geheimnis verraten.,to tell a secret,B1
anpassen,Er passte das Design den Wünschen an.,to adjust,B2
automatisch,Der automatische Prozess lief perfekt.,automatic,A1
die Physik,Die Physik erklärt viele Naturphänomene.,physics,B2
die Erkrankung,Die Erkrankung breitet sich aus.,illness,C1
spanisch,Er hört gerne spanische Musik.,Spanish,B1
der Teilnehmer,Jeder Teilnehmer erhielt eine Urkunde.,participant,B1
die Veranstaltung,Die Veranstaltung war gut besucht.,event,A2
vorhaben,"Sie hat vor, nächstes Jahr zu reisen.",to have in mind,B1
verbergen,Er verbirgt seine Gefühle geschickt.,to hide,A2
aha,"Aha, jetzt verstehe ich endlich!",aha,A1
malen,Sie malt ein Bild vom Sonnenuntergang.,to paint,A2
die Post,Die Post kommt heute sehr spät.,mail,A1
die Seele,Die Seele leidet unter der Einsamkeit.,soul,A1
üben,Er übt täglich auf der Gitarre.,to practice,A2
der August,Im August blühen die schönsten Blumen.,August,B1
der Knochen,Der Knochen brach bei dem Sturz.,bone,B1
das Geräusch,Das Geräusch kam aus dem Keller.,sound,A2
die Gegenwart,In der Gegenwart gibt es viele Chancen.,present,B1
generell,Generell verlief das Treffen gut.,general,C1
die Aminosäure,Aminosäuren sind Bausteine der Proteine.,amino acid,C2
das Marketing,Das Marketing lockte viele Kunden an.,marketing,C1
das Phänomen,Das Phänomen ist weltweit bekannt.,phenomenon,B2
der Russe,Der Russe spricht fließend Deutsch.,Russian,B2
die Brücke,Die Brücke verbindet die beiden Städte.,bridge,A2
daneben,Daneben liegt das richtige Buch.,beside it,A1
das Gewicht,Das Gewicht des Pakets war groß.,weight,A1
beruhigen,Er beruhigt das weinende Kind.,to calm,B1
ansonsten,Ansonsten habe ich nichts mehr zu sagen.,otherwise,B1
verrückt,Diese verrückte Idee gefällt mir!,crazy,B1
versorgen,Sie versorgten die Kinder mit Essen.,to supply,A2
der Start,Der Start der Kampagne war erfolgreich.,start,B1
weiblich,Der weibliche Vogel singt nicht.,feminine,A1
seitdem,Seitdem geht er jeden Tag joggen.,since then,B1
die Treppe,Die Treppe knarrte bei jedem Schritt.,stairs,A1
die Decke,Die Decke war aus schwerem Stoff.,ceiling,B1
die Einstellung,Ihre Einstellung hat sich geändert.,attitude,B1
heiraten,Er heiratet seine Jugendliebe.,to marry,A1
mittels,Er löste das Rätsel mittels Logik.,by means of,C1
der Unfall,Der Unfall verlief glimpflich.,accident,A2
der Bestandteil,Wasser bleibt ein wichtiger Bestandteil.,component,C1
der Regen,Der Regen hörte plötzlich auf.,rain,A1
entschuldigen,Sie entschuldigt sich für den Fehler.,to excuse,A1
der Fisch,Der Fisch schwamm im klaren Wasser.,fish,A1
die Medizin,Die Medizin linderte sofort den Schmerz.,medicine,B1
das Schicksal,Das Schicksal meinte es gut mit ihm.,fate,A1
aufgehen,Die Sonne geht früh am Morgen auf.,to rise,B1
das Video,Das Video ging im Internet viral.,video,B1
zugehen,Er geht langsam auf die Tür zu.,to approach,B1
durchschnittlich,Seine Leistungen waren durchschnittlich.,average,B1
der Strand,Der Strand war am frühen Morgen leer.,beach,A2
der Zins,Der Zins für das Darlehen ist hoch.,interest,B2
bewerten,Er bewertet das Ergebnis als positiv.,to assess,B2
bezüglich,Bezüglich des Plans habe ich Fragen.,regarding,B1
begeistern,Das Konzert hat alle begeistert.,to inspire,C1
die Ladung,Die Ladung des Lkw war zu schwer.,charge,B1
äußerst,Der Vortrag war äußerst interessant.,extremely,A2
lustig,Er erzählte eine lustige Geschichte.,funny,A1
potenziell,Das potenzielle Risiko war bekannt.,potential,B2
der Dichter,Der Dichter schrieb berühmte Gedichte.,writer,C2
die Religion,Die Religion beeinflusst viele Kulturen.,religion,B1
religiös,Er ist sehr religiös erzogen worden.,religious,B1
nackt,Er stand nackt vor der Dusche.,naked,A2
die Ware,Die Ware wurde heute geliefert.,goods,B1
beruflich,Die berufliche Veränderung fordert Mut.,professional,B1
lokal,Das lokale Projekt fand großen Anklang.,local,A1
der Standard,Der Standard ist hoch angesetzt.,standard,B2
der Kanzler,Der Kanzler hielt eine wichtige Rede.,chancellor,B2
nochmal,"Er versuchte es nochmal, ohne Erfolg.",again,A1
auflösen,Der Zucker löst sich im Tee auf.,to dissolve,B1
aufregen,Er regte sich über den Lärm auf.,to excite,B1
die Abhängigkeit,Die Abhängigkeit macht Sorgen.,dependence,C1
die Einrichtung,Die Einrichtung der Wohnung war modern.,institution,B1
vereinigen,Die beiden Firmen wurden vereinigt.,to unite,B2
vereinbaren,Sie vereinbarten einen neuen Termin.,to agree,A2
verschieben,Wir müssen das Treffen verschieben.,to move,A2
bewirken,Er bewirkte eine große Veränderung.,to cause,B1
das Bundesland,Das Bundesland hat viele Einwohner.,state,
erleichtern,Das neue System erleichtert die Arbeit.,to relieve,B1
die Institution,Die Institution fördert Bildung.,institution,B2
rechtlich,Die rechtliche Lage ist unsicher.,legal,B1
das Viertel,Das Viertel ist bekannt für seine Cafés.,quarter,B1
die Dimension,Die Dimension wurde genau berechnet.,dimension,B2
